title,price,Name:,Yacht Type:,"Series, Model, Class:",Builder:,Length Overall:,Length at Waterline:,Beam:,Max Draught:,Gross Tonnage:,Displacement Tonnage:,Year of Build:,Hull Type:,Number of Decks:,Classification:,Max Speed:,Cruising Speed:,Fuel Capacity:,Range:,V1,Engine Make:,Total power:,Hull:,Superstructure:,Deck:,Guests:,Passenger Rooms:,Master Rooms:,Double Rooms: ,Twin Rooms:,Yacht Subtype:,Interior Designer:,Refits:,Hull Number:,Water Capacity:,Naval Architect:,Exterior Designer:,VIP Rooms:,Build time:
EL CARAN for sale,VAT paid,EL CARAN,Motor Yacht,NA,Benetti ,38.18  metres,32  metres,7.28  metres,3.26  metres,321,328,1977,Full Displacement,3,BV | RINA,15  kn,13  kn,56000  litres,3500  nm,@ 13  kn,MTU ,1390hp ,Steel,Aluminium,Teak,10,5,1,NA,3,Classic Yacht ,Benetti ,"1995-01-01,2004-01-01,2012-01-01",FB 121,27000  litres,NA,Benetti ,1,NA
KAISER for sale,"€49,500,000",KAISER,Motor Yacht,NA,Abeking & Rasmussen ,60  metres,NA,11  metres,3  metres,1090,NA,2011,Full Displacement,3,LR,16  kn,14  kn,NA,3800  nm,@ 14  kn,Caterpillar ,NA,Steel,Aluminium,Teak,12,6,NA,NA,NA,NA,Bannenberg & Rowell ,NA,6482,NA,NA,Donald Starkey ,NA,NA
QUARANTENA for sale,"$5,995,000",QUARANTENA,Motor Yacht,NA,Sanlorenzo ,23.8  metres,NA,6.6  metres,1.7  metres,115,NA,2019,NA,NA,NA,22  kn,20  kn,4500  litres,NA,NA,Volvo Penta ,1800hp ,NA,NA,NA,8,4,NA,NA,NA,NA,NA,NA,NA,1420  litres,NA,NA,NA,NA
QUARANTENA for sale,VAT paid,QUARANTENA,Motor Yacht,NA,Sanlorenzo ,23.8  metres,NA,6.6  metres,1.7  metres,115,NA,2019,NA,NA,NA,22  kn,20  kn,4500  litres,NA,NA,Volvo Penta ,1800hp ,NA,NA,NA,8,4,NA,NA,NA,NA,NA,NA,NA,1420  litres,NA,NA,NA,NA
TAWERA for sale,"€1,950,000",TAWERA,Sail Yacht,NA,Alloy Yachts ,28.1  metres,21.8  metres,6.33  metres,3.3  metres,NA,83,1995,Monohull,NA,NA,10.5  kn,9  kn,7500  litres,2500  nm,@ 9  kn,MTU ,235hp ,Aluminium,Aluminium,Teak,6,NA,1,NA,2,NA,Peter Sijm ,"2006-01-01,2001-01-01",AY 14,3200  litres,NA,Ron Holland Design ,NA,NA
BELLE ISLE for sale,"€3,350,000",BELLE ISLE,Motor Yacht,Columbus 90,Kingship Marine ,27.2  metres,23.96  metres,7.4  metres,2.1  metres,175,NA,2010,Semi Displacement,2,RINA MCA,12  kn,9  kn,23960  litres,4000  nm,@ 8  kn,Caterpillar ,958hp ,Steel,Aluminium,Teak,8,4,1,NA,2,Semi-displacement ,Addison Nelson Design ,NA,KS003,4553  litres,Vripack ,Vripack ,1,NA
HUEY'S ISLAND for sale,"$3,995,000",HUEY'S ISLAND,Motor Yacht,North Star 105,Northstar Yachts ,32  metres,28  metres,7.32  metres,1.86  metres,214,111,2004,Semi Displacement,3,NA,23  kn,20  kn,16843  litres,2500  nm,@ 12  kn,Caterpillar ,2800hp ,GRP,GRP,"GRP,Teak",9,4,NA,NA,NA,NA,NA,NA,105001,3028  litres,Jack Sarin ,Jack Sarin ,NA,NA
AUSSIE RULES for sale,"$9,950,000",AUSSIE RULES,Motor Yacht,92 EB,Viking ,28.42  metres,NA,7.48  metres,1.8  metres,174,93,2017,Deep V / Planing,3,NA,36  kn,30  kn,15198  litres,NA,NA,MTU ,5200hp ,GRP,GRP,Teak,9,5,NA,NA,NA,NA,Viking ,NA,92112,1836  litres,NA,Viking ,NA,NA
AUSSIE RULES for sale,VAT paid,AUSSIE RULES,Motor Yacht,92 EB,Viking ,28.42  metres,NA,7.48  metres,1.8  metres,174,93,2017,Deep V / Planing,3,NA,36  kn,30  kn,15198  litres,NA,NA,MTU ,5200hp ,GRP,GRP,Teak,9,5,NA,NA,NA,NA,Viking ,NA,92112,1836  litres,NA,Viking ,NA,NA
PRINCESS M for sale,"€8,600,000",PRINCESS M,Motor Yacht,30M,Princess ,30.45  metres,NA,6.92  metres,NA,190,NA,2020,NA,2,RINA,NA,NA,NA,NA,NA,MTU ,NA,GRP,GRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,30M028,NA,NA,NA,NA,NA
