title,price,Name:,Yacht Type:,"Series, Model, Class:",Builder:,Length Overall:,Length at Waterline:,Beam:,Max Draught:,Gross Tonnage:,Displacement Tonnage:,Year of Build:,Hull Type:,Number of Decks:,Classification:,Max Speed:,Cruising Speed:,Fuel Capacity:,Range:,V1,Engine Make:,Total power:,Hull:,Superstructure:,Deck:,Guests:,Passenger Rooms:,Master Rooms:,Double Rooms: ,Twin Rooms:,Yacht Subtype:,Interior Designer:,Refits:,Hull Number:,Water Capacity:,Naval Architect:,Exterior Designer:,VIP Rooms:,Build time:
BARON TRENCK for sale,"€12,500,000",BARON TRENCK,Motor Yacht,44m Explorer,Eurocraft ,43.5  metres,NA,8.2  metres,3  metres,478,425,2011,Full Displacement,4,RINA,13.5  kn,10  kn,105000  litres,7200  nm,@ 10  kn,MTU ,1630hp ,Steel,Aluminium,Teak,12,6,1,1,3,NA,Eurocraft ,NA,507,23270  litres,NA,Eurocraft ,1,NA
AUDACITY for sale,"$1,190,000",AUDACITY,Motor Yacht,Raised Bridge Motor Yacht,Broward Marine ,32  metres,27.43  metres,6.1  metres,1.83  metres,166,90,1990,Semi Displacement,NA,NA,25  kn,19  kn,24188.79  litres,2  nm,@ 22  kn,Detroit Diesel ,2900hp ,Aluminum,Aluminium,Aluminium,7,4,NA,2,NA,Semi-displacement ,Yacht Interiors by Shelley ,NA,517,3596.14  litres,Broward Marine ,Broward Marine ,NA,NA
HARGRAVE 108 for sale,"$12,287,000",HARGRAVE 108,Motor Yacht,NA,Hargrave Custom Yachts ,32.92  metres,NA,7.62  metres,1.93  metres,NA,134.6,2022,NA,NA,NA,21  kn,17  kn,5278.01  litres,815  nm,@ 17  kn,Caterpillar ,3800hp ,NA,NA,NA,8,4,NA,3,1,NA,NA,NA,NA,3182.26  litres,NA,NA,NA,NA
MISS ILOILO for sale,"$7,800,000",MISS ILOILO,Motor Yacht,NA,Feadship ,41.75  metres,34.35  metres,7.76  metres,2.39  metres,302,290,1986,Full Displacement,3,RINA,13.5  kn,11  kn,49210  litres,3400  nm,@ 11  kn,General Motors ,1400hp ,Steel,Aluminium,Teak,10,5,1,NA,3,NA,NA,2019-01-01,753,7571  litres,Feadship De Voogt Naval Architects ,Feadship De Voogt Naval Architects ,1,NA
CASUAL WATER for sale,"$6,600,000",CASUAL WATER,Motor Yacht,NA,Feadship ,33.52  metres,NA,7  metres,2.13  metres,234,200,1987,Full Displacement,2,NA,14  kn,11  kn,26495  litres,2800  nm,@ 10  kn,Cummins ,1200hp ,Steel,Aluminium,Teak,8,4,1,1,1,NA,NA,2022-01-01,635,6624  litres,NA,NA,NA,NA
CASUAL WATER for sale,VAT paid,CASUAL WATER,Motor Yacht,NA,Feadship ,33.52  metres,NA,7  metres,2.13  metres,234,200,1987,Full Displacement,2,NA,14  kn,11  kn,26495  litres,2800  nm,@ 10  kn,Cummins ,1200hp ,Steel,Aluminium,Teak,8,4,1,1,1,NA,NA,2022-01-01,635,6624  litres,NA,NA,NA,NA
VOLTERRA for sale,"$799,000",VOLTERRA,Sail Yacht,NA,Palmer Johnson ,24.54  metres,18.75  metres,5.94  metres,2.44  metres,55,55,1990,Monohull,NA,NA,11  kn,10  kn,3785  litres,1300  nm,@ 10  kn,Volvo Penta ,230hp ,Aluminium,Aluminium,Teak,6,NA,NA,NA,NA,NA,NA,2010-01-01,PJ 203,1892  litres,NA,NA,NA,NA
SARASTAR for sale,"€42,000,000",SARASTAR,Motor Yacht,NA,Mondomarine ,60.22  metres,NA,10.75  metres,2.9  metres,900,NA,2017,Full Displacement,3,LR,19.5  kn,18  kn,110000  litres,4100  nm,@ 12  kn,MTU ,7720hp ,NA,NA,NA,12,6,1,4,1,Displacement ,Luca Dini ,NA,C27.1,24000  litres,Mondomarine ,Luca Dini ,NA,NA
KOKOMO for sale,POA,KOKOMO,Motor Yacht,NA,Sunreef Yachts ,23.96  metres,NA,12.22  metres,1.8  metres,NA,NA,2021,NA,NA,Power Catamaran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PACIFIC PIONEER for sale,"$950,000",PACIFIC PIONEER,Motor Yacht,NA,Bertram ,16.46  metres,NA,4.88  metres,1.52  metres,53,NA,NA,NA,NA,NA,28  kn,20  kn,5602.41  litres,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,Classic Yacht ,NA,NA,NA,454.25  litres,NA,NA,NA,NA
DON JUAN for sale,"$1,350,000",DON JUAN,Motor Yacht,NA,Eliott Boats,21.95  metres,NA,6.1  metres,2.44  metres,109,NA,1983,NA,NA,NA,14  kn,10  kn,14611.68  litres,NA,NA,NA,NA,NA,NA,NA,10,3,NA,NA,NA,Classic Yacht ,NA,1996-01-01,NA,1514.16  litres,NA,NA,NA,NA
ROYAL FALCON ONE for sale,"€22,950,000",ROYAL FALCON ONE,Motor Yacht,Studio FA Porsche Catamaran,Custom ,41.15  metres,35.7  metres,12.5  metres,1.93  metres,492,NA,2019,Catamaran,3,LR,37  kn,15  kn,35000  litres,2  nm,NA,MTU ,4600hp ,Aluminum,Aluminium,NA,10,5,1,2,2,Multihull ,Studio F.A. Porsche ,NA,1,5000  litres,NA,Studio F.A. Porsche ,NA,NA
EDESIA for sale,"€10,400,000",EDESIA,Motor Yacht,Classic 121,Benetti ,36.9  metres,NA,8.2  metres,2.14  metres,298,236,2014,Semi Displacement,3,RINA,15  kn,13  kn,42500  litres,3400  nm,@ 11  kn,MTU ,2900hp ,GRP,GRP,Teak,12,5,1,2,2,Semi-displacement ,Francois Zuretti ,NA,BC 131,7700  litres,Benetti ,Stefano Righini ,NA,NA
ICE for sale,"€59,000,000",ICE,Motor Yacht,NA,AES Yacht ,68  metres,66.46  metres,13  metres,3.25  metres,1780,1382,2023,Full Displacement,6,NA,14.2  kn,12  kn,161500  litres,5260  nm,@ 10  kn,Caterpillar ,4000hp ,Steel,Aluminium,Teak,12,7,1,1,1,NA,Hot Lab ,NA,NA,43200  litres,NA,Hot Lab ,3,NA
FABULOUS CHARACTER for sale,"$18,995,000",FABULOUS CHARACTER,Motor Yacht,NA,Holland Jachtbouw ,42.29  metres,38.81  metres,8.38  metres,2.62  metres,453,330,2010,Semi Displacement,3,LR,16.5  kn,15.5  kn,58000  litres,4400  nm,@ 10  kn,MTU ,3860hp ,Aluminium,Aluminium,Teak,10,5,1,2,2,NA,NA,NA,89,17659  litres,NA,NA,NA,NA
MARGUERITE for sale,"$48,000,000",MARGUERITE,Motor Yacht,NA,Lurssen ,61.26  metres,56  metres,12.34  metres,3.73  metres,1444,NA,2004,Full Displacement,4,LR,16  kn,12  kn,185000  litres,7700  nm,@ 13  kn,MTU ,4728hp ,Steel,Aluminium,Teak,12,6,1,3,1,NA,NA,2021-01-01,13626,32100  litres,NA,NA,1,NA
"NAVETTA 42 for sale",POA,"NAVETTA 42",Motor Yacht,Navetta 42,Custom Line ,41.79  metres,36.59  metres,8.1  metres,2.8  metres,370,190,2020,Semi Displacement,3,RINA,17.2  kn,12  kn,38000  litres,2352  nm,@ 12  kn,MTU ,2938hp ,GRP,GRP,Teak,10,5,1,2,NA,NA,NA,NA,N42-04,4000  litres,NA,NA,2,NA
VICTORIOUS for sale,"€110,000,000",VICTORIOUS,Motor Yacht,NA,AKYACHT ,85  metres,74  metres,14.2  metres,4.4  metres,2291,2150,2021,Full Displacement,6,LR,16  kn,10  kn,264400  litres,10200  nm,@ 12.5  kn,Caterpillar ,2950hp ,Steel,Aluminium,Teak,24,12,1,6,4,NA,NA,NA,AY-001-16SA,127400  litres,NA,NA,1,NA
MIRKA for sale,"€3,200,000",MIRKA,Motor Yacht,28M,Sunseeker ,28.2  metres,NA,6.5  metres,2.05  metres,103,NA,2013,Deep V / Planing,2,RINA,26  kn,23  kn,9000  litres,1200  nm,@ 10  kn,MTU ,3900hp ,GRP,GRP,Teak,8,4,1,1,1,Planing Fast Yacht ,Lazzarini Pickering Architetti ,NA,6231392,1500  litres,Sunseeker ,Sunseeker ,1,NA
FIDELITAS for sale,"€3,250,000",FIDELITAS,Motor Yacht,32T,Jongert ,33.66  metres,25.1  metres,6.85  metres,3.5  metres,134,160,1993,Monohull,NA,NA,12.5  kn,10  kn,16700  litres,2800  nm,@ 10  kn,MTU ,534hp ,Steel,Aluminium,Teak,8,NA,NA,NA,NA,NA,NA,2001-01-01,384,5500  litres,NA,NA,NA,NA
MERMAID for sale,"€3,480,000",MERMAID,Sail Yacht,NA,Cavusoglu Yat ,33.7  metres,29.68  metres,7.5  metres,3.91  metres,175,188.8,2009,Monohull,NA,TL,14  kn,10  kn,7251  litres,500  nm,@ 10  kn,John Deere ,900hp ,Mahogany,Mahogany,Teak,10,5,1,3,1,NA,NA,2020-01-01,NA,6000  litres,NA,NA,NA,NA
PROJECT ATALAY for sale,"€27,900,000",PROJECT ATALAY,Motor Yacht,NA,AKYACHT ,50  metres,NA,8.9  metres,3.1  metres,499,NA,2025,Steel,NA,NA,15  kn,12  kn,NA,4000  nm,NA,CATERPILLAR ,NA,NA,NA,NA,10,5,NA,NA,NA,NA,H2 Yacht Design ,NA,NA,NA,NA,Uldas Design,NA,NA
FUNKY CHOICE for sale,"€4,400,000",FUNKY CHOICE,Motor Yacht,NA,Logos Marine ,35  metres,30.8  metres,8  metres,1.8  metres,NA,155,2010,Deep V / Planing,2,NA,26  kn,23  kn,16000  litres,490  nm,@ 14  kn,MTU ,4800hp ,GRP,GRP,Teak,10,5,2,1,1,NA,NA,NA,205,2500  litres,NA,NA,1,NA
CAPELLA C for sale,"€7,500,000",CAPELLA C,Motor Yacht,NA,Scheepsbouwwerf Gebroeders Pot ,59  metres,54  metres,10.6  metres,3.7  metres,902,567,1968,Full Displacement,4,LR | BV,13  kn,13  kn,100000  litres,4500  nm,@ 11.5  kn,Deutz-MWM ,1800hp ,Steel,Steel,"Steel,Teak",22,12,NA,NA,NA,NA,NA,NA,963,85000  litres,NA,NA,NA,NA
EXCELERATE Z for sale,"€1,950,000",EXCELERATE Z,Motor Yacht,94 Yacht,Sunseeker ,28  metres,NA,6.3  metres,2.2  metres,98,NA,2022,Deep V / Planing,2,NA,29  kn,18  kn,8500  litres,250  nm,@ 20  kn,MTU ,4000hp ,GRP,GRP,Teak,8,4,1,NA,2,NA,NA,NA,1180694,1250  litres,NA,NA,1,NA
NO.6 TEXEL for sale,"€1,950,000",NO.6 TEXEL,Sail Yacht,NA,Piet M. Smit Jr. ,33.5  metres,24  metres,6.29  metres,3.85  metres,147,185,1921,Monohull,NA,NA,9  kn,8  kn,NA,1200  nm,@ 8  kn,Deutz ,300hp ,Steel,Teak,Teak,9,NA,NA,NA,NA,NA,NA,"1955-01-01,2003-01-01,1991-01-01",299,NA,NA,NA,NA,NA
NO.6 TEXEL for sale,VAT paid,NO.6 TEXEL,Sail Yacht,NA,Piet M. Smit Jr. ,33.5  metres,24  metres,6.29  metres,3.85  metres,147,185,1921,Monohull,NA,NA,9  kn,8  kn,NA,1200  nm,@ 8  kn,Deutz ,300hp ,Steel,Teak,Teak,9,NA,NA,NA,NA,NA,NA,"1955-01-01,2003-01-01,1991-01-01",299,NA,NA,NA,NA,NA
PLAN A for sale,"€6,500,000",PLAN A,Motor Yacht,Mangusta 130 S,Overmarine ,39.65  metres,34  metres,7.76  metres,1.7  metres,265,160,2007,Deep V / Planing,2,BV,39.5  kn,34  kn,24000  litres,530  nm,@ 34  kn,MTU ,7290hp ,GRP,GRP,"GRP,Teak",10,5,1,3,1,NA,NA,NA,130/10,3000  litres,NA,NA,NA,NA
PLAN A for sale,VAT paid,PLAN A,Motor Yacht,Mangusta 130 S,Overmarine ,39.65  metres,34  metres,7.76  metres,1.7  metres,265,160,2007,Deep V / Planing,2,BV,39.5  kn,34  kn,24000  litres,530  nm,@ 34  kn,MTU ,7290hp ,GRP,GRP,"GRP,Teak",10,5,1,3,1,NA,NA,NA,130/10,3000  litres,NA,NA,NA,NA
WESTPORT 112 for sale,"$6,900,000",WESTPORT 112,Motor Yacht,112,Westport ,34.14  metres,NA,7.25  metres,1.6  metres,208,NA,2010,Deep V / Planing,2,NA,25  kn,22  kn,20819  litres,2500  nm,@ 12  kn,MTU ,4000hp ,GRP,GRP,"GRP,Teak",8,4,1,1,1,NA,NA,NA,7741,3830  litres,NA,NA,1,NA
ICON for sale,"€45,000,000",ICON,Motor Yacht,Icon 62,ICON Yachts ,67.5  metres,51.45  metres,11.4  metres,3.6  metres,1295,1279,2010,Full Displacement,6,LR,16  kn,12.5  kn,160000  litres,6000  nm,@ 12.5  kn,MTU ,4960hp ,Steel,Aluminium,Teak,13,7,1,2,2,NA,NA,2020-01-01,001,29000  litres,NA,Redman Whiteley ,1,NA
ICON for sale,VAT paid,ICON,Motor Yacht,Icon 62,ICON Yachts ,67.5  metres,51.45  metres,11.4  metres,3.6  metres,1295,1279,2010,Full Displacement,6,LR,16  kn,12.5  kn,160000  litres,6000  nm,@ 12.5  kn,MTU ,4960hp ,Steel,Aluminium,Teak,13,7,1,2,2,NA,NA,2020-01-01,001,29000  litres,NA,Redman Whiteley ,1,NA
PIPE DREAM for sale,"$20,495,000",PIPE DREAM,Motor Yacht,130,Westport ,39.62  metres,NA,7.9  metres,1.9  metres,333,206,2013,Semi Displacement,3,ABS,24  kn,20  kn,37721  litres,3000  nm,@ 12  kn,MTU ,5790hp ,GRP,GRP,Teak,10,5,1,2,2,NA,NA,NA,4009,6533  litres,NA,NA,NA,NA
AMANTI for sale,"$26,800,000",AMANTI,Motor Yacht,NA,Feadship ,51.75  metres,46.5  metres,10.36  metres,3.2  metres,863,740,2003,Full Displacement,3,LR,15.5  kn,14  kn,103300  litres,4400  nm,@ 13  kn,Caterpillar ,3000hp ,Steel,Aluminium,Teak,13,7,1,2,2,NA,NA,NA,788,26000  litres,NA,NA,1,NA
"NAMASTE for sale","$8,799,000","NAMASTE",Motor Yacht,Classic 121,Benetti ,36.88  metres,NA,7  metres,2.13  metres,299,NA,2013,Full Displacement,3,RINA,16  kn,12.5  kn,42498  litres,2300  nm,@ 12  kn,MTU ,3000hp ,GRP,GRP,Teak,10,5,NA,NA,NA,NA,Francois Zuretti ,NA,BC 130,7700  litres,Benetti ,Stefano Righini ,NA,NA
BLUE SKY for sale,"$22,800,000",BLUE SKY,Motor Yacht,F45 Vantage,Camper & Nicholsons ,44.65  metres,NA,9.2  metres,2.7  metres,490,NA,2013,Full Displacement,3,LR,14.5  kn,13  kn,40000  litres,4500  nm,@ 10  kn,MTU ,2110hp ,Steel,Aluminium,Teak,10,5,NA,NA,NA,NA,Bannenberg & Rowell ,NA,805,10000  litres,NA,Studio De Voogt ,NA,NA
FX for sale,"€7,800,000",FX,Motor Yacht,FX 38,FX Yachts ,38.21  metres,33.65  metres,8  metres,3.83  metres,NA,139,2016,Semi Displacement,2,RINA,23  kn,19  kn,38110  litres,1000  nm,@ 19  kn,MTU ,4500hp ,EPOXY SANDWICH,GRP,Teak,12,5,1,2,2,NA,Scaro Design ,NA,NA,3232  litres,NA,Scaro Design ,NA,NA
COME TOGETHER for sale,"€69,500,000",COME TOGETHER,Motor Yacht,60,Amels ,60  metres,NA,10.4  metres,3.35  metres,830,NA,2022,Full Displacement,3,NA,15.5  kn,13  kn,NA,4500  nm,@ 13  kn,NA,NA,Steel,Aluminium,Teak,12,6,1,2,2,NA,NA,NA,6001,NA,NA,NA,1,NA
AMARA for sale,NA,AMARA,Motor Yacht,NA,NA,57.3  metres,53.52  metres,9.51  metres,3.2  metres,702,650,1986,Full Displacement,3,LR,16  kn,14  kn,105600  litres,7000  nm,@ 12  kn,Deutz-MWM ,3210hp ,Steel,Aluminium,Teak,10,5,1,2,2,Classic Yacht ,NA,"2017-01-01,2021-05-20",634,27490  litres,NA,NA,NA,NA
DISCO LEMONADE for sale,"$849,000",DISCO LEMONADE,Sail Yacht,NA,Nautor's Swan ,20.73  metres,NA,5.18  metres,3.05  metres,51,NA,1992,NA,NA,NA,NA,8.5  kn,1362.75  litres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-01,NA,1570.95  litres,NA,NA,NA,NA
LADY DRAGONFLY for sale,"€1,450,000",LADY DRAGONFLY,Motor Yacht,NA,Sanlorenzo ,22  metres,NA,5.67  metres,1.9  metres,74,NA,NA,Composite,NA,NA,29  kn,24  kn,5000  litres,300  nm,NA,MAN 1360hp ,NA,NA,NA,NA,8,4,NA,NA,NA,NA,NA,NA,NA,1500  litres,Sanlorenzo ,Sanlorenzo ,NA,NA
LADY DRAGONFLY for sale,VAT paid,LADY DRAGONFLY,Motor Yacht,NA,Sanlorenzo ,22  metres,NA,5.67  metres,1.9  metres,74,NA,NA,Composite,NA,NA,29  kn,24  kn,5000  litres,300  nm,NA,MAN 1360hp ,NA,NA,NA,NA,8,4,NA,NA,NA,NA,NA,NA,NA,1500  litres,Sanlorenzo ,Sanlorenzo ,NA,NA
EL MIRAR II for sale,"$6,900,000",EL MIRAR II,Motor Yacht,107,Horizon ,33.8  metres,NA,7.16  metres,2  metres,165,NA,2008,Semi Displacement,3,DNV,18  kn,14  kn,19555  litres,NA,NA,Caterpillar ,3650hp ,GRP,GRP,Teak,8,4,1,2,1,NA,NA,NA,107-316,3785  litres,NA,NA,NA,NA
PERSHING 62 for sale,"$795,000",PERSHING 62,Motor Yacht,NA,Pershing ,18.9  metres,NA,4.9  metres,1.2  metres,NA,NA,2007,NA,NA,NA,50.4  kn,34.7  kn,3596.14  litres,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,900.93  litres,NA,NA,NA,NA
ADVENTURE US II for sale,"$4,950,000",ADVENTURE US II,Motor Yacht,NA,Hargrave Custom Yachts ,28.65  metres,NA,6.4  metres,1.74  metres,NA,NA,2014,Semi Displacement,3,NA,23  kn,20  kn,NA,NA,NA,Caterpillar ,3200hp ,GRP,GRP,GRP,9,4,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA
EYAHNE for sale,"$450,000",EYAHNE,Motor Yacht,NA,Dufour ,19.81  metres,NA,NA,2.44  metres,NA,NA,1995,NA,NA,NA,NA,NA,1400.6  litres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757.08  litres,NA,Farr Yacht Design ,NA,NA
MONTRACHET for sale,"$8,795,000",MONTRACHET,Motor Yacht,112,Westport ,34.14  metres,29.5  metres,7.13  metres,1.68  metres,213,107,2006,Semi Displacement,2,NA,28  kn,24  kn,20817  litres,2200  nm,@ 20  kn,MTU ,4000hp ,GRP,GRP,"GRP,Teak",8,4,1,1,2,NA,NA,2014-01-01,7720,3880  litres,NA,NA,NA,NA
BONNY READ for sale,"$9,800,000",BONNY READ,Motor Yacht,Sea Force 94.5 SF,Sea Force IX ,28.65  metres,NA,6.98  metres,1.68  metres,95,72.5,2013,Deep V / Planing,3,NA,35  kn,27  kn,18927  litres,2000  nm,@ 20  kn,MTU ,5200hp ,GRP,GRP,"GRP,Teak",9,4,1,1,1,NA,Sea Force IX ,2021-01-01,94506,1893  litres,NA,Sea Force IX ,1,NA
EMOCEAN for sale,"€18,950,000",EMOCEAN,Motor Yacht,Explorer 38M,Rosetti Superyachts ,38.15  metres,36.73  metres,8.85  metres,2.53  metres,432,410,2021,Full Displacement,3,RINA,13.5  kn,11  kn,NA,5000  nm,@ 10  kn,MAN ,1600hp ,Steel,Aluminium,Teak,12,5,1,2,2,NA,NA,NA,C123,NA,NA,NA,NA,NA
@LAST for sale,"€850,000",@LAST,Motor Yacht,NA,Leopard Yachts ,23.9  metres,NA,6  metres,0.91  metres,67,NA,2003,NA,NA,NA,31  kn,25  kn,NA,NA,NA,MTU ,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAYAMA for sale,"€840,000",CAYAMA,Motor Yacht,NA,Riva ,12  metres,NA,2.5  metres,NA,NA,NA,2017,NA,NA,NA,40  kn,NA,NA,NA,NA,Volvo Penta ,NA,NA,NA,NA,11,1,NA,NA,NA,Yacht Tender ,NA,NA,NA,NA,NA,NA,NA,NA
MY STAR for sale,"€4,450,000",MY STAR,Sail Yacht,NA,Alloy Yachts ,34.75  metres,27.8  metres,7.86  metres,3.32  metres,136,130,1994,Monohull,NA,NA,12  kn,10  kn,20240  litres,3600  nm,@ 10  kn,Lugger ,540hp ,Aluminium,"Aluminium,GRP",Teak,8,4,1,1,2,NA,NA,"2015-01-01, 2017-01-01, 2018-01-01, 2019-01-01 ",AY 12,4000  litres,NA,NA,NA,NA
ATOMIC for sale,"$63,000,000",ATOMIC,Motor Yacht,NA,Viareggio Superyachts ,63.7  metres,NA,11  metres,3.15  metres,1150,970,2020,Full Displacement,3,ABS,17  kn,14  kn,163000  litres,5200  nm,@ 12  kn,Caterpillar ,5364hp ,Steel,Aluminium,Teak,12,6,1,5,NA,NA,NA,NA,VSY003,39000  litres,NA,NA,NA,NA
FANCY for sale,"€2,200,000",FANCY,Sail Yacht,NA,Custom ,30.48  metres,26.3  metres,7  metres,4.52  metres,173,52,2004,Monohull,NA,BV,12  kn,10  kn,NA,NA,NA,Caterpillar ,315hp ,GRP,GRP,Teak,8,NA,NA,NA,NA,NA,Gilles Vaton ,2022-01-01,43,NA,NA,Gilles Vaton ,NA,NA
FANCY for sale,VAT paid,FANCY,Sail Yacht,NA,Custom ,30.48  metres,26.3  metres,7  metres,4.52  metres,173,52,2004,Monohull,NA,BV,12  kn,10  kn,NA,NA,NA,Caterpillar ,315hp ,GRP,GRP,Teak,8,NA,NA,NA,NA,NA,Gilles Vaton ,2022-01-01,43,NA,NA,Gilles Vaton ,NA,NA
ANTARES OF BRITAIN for sale,"€880,000",ANTARES OF BRITAIN,Motor Yacht,HAM Class,Bolson ,34  metres,NA,6.7  metres,2.1  metres,NA,NA,1957,Full Displacement,3,NA,14  kn,11  kn,12000  litres,2250  nm,@ 10  kn,MAN ,2000hp ,Mahogany,Marine Ply,Teak,17,NA,NA,NA,NA,NA,NA,NA,NA,6000  litres,NA,NA,NA,NA
MAGNUM 80 for sale,"€3,100,000",MAGNUM 80,Motor Yacht,Magnum 80 Sport,Magnum ,25.91  metres,NA,6  metres,1.37  metres,NA,44,2000,Deep V / Planing,NA,NA,42  kn,35  kn,6000  litres,350  nm,@ 36  kn,MTU ,3600hp ,GRP,GRP,GRP,6,3,1,NA,2,NA,NA,NA,80001,1589  litres,NA,NA,NA,NA
MAGNUM 80 for sale,VAT paid,MAGNUM 80,Motor Yacht,Magnum 80 Sport,Magnum ,25.91  metres,NA,6  metres,1.37  metres,NA,44,2000,Deep V / Planing,NA,NA,42  kn,35  kn,6000  litres,350  nm,@ 36  kn,MTU ,3600hp ,GRP,GRP,GRP,6,3,1,NA,2,NA,NA,NA,80001,1589  litres,NA,NA,NA,NA
IDYLLIC for sale,"€31,000,000",IDYLLIC,Motor Yacht,59M,Benetti ,59.3  metres,NA,10.4  metres,3.15  metres,996,NA,2008,Full Displacement,3,ABS,16  kn,15  kn,130000  litres,5000  nm,@ 12  kn,MTU ,NA,Steel,Aluminium,Teak,12,6,1,2,2,NA,NA,2022-05-01,FB 241,33000  litres,NA,NA,1,NA
ZEAL for sale,"$9,900,000",ZEAL,Motor Yacht,155,Christensen ,47.24  metres,42.46  metres,8.38  metres,2.35  metres,460,555,1997,Semi Displacement,3,ABS,19  kn,16  kn,45420  litres,4000  nm,@ 12  kn,Deutz-MWM ,4400hp ,GRP,GRP,Teak,11,6,1,4,NA,NA,NA,2012-01-01,017,6814  litres,NA,NA,NA,NA
ONLY EIGHTY for sale,"$13,500,000",ONLY EIGHTY,Motor Yacht,43,CRN ,43  metres,NA,8.65  metres,2.3  metres,456,NA,2013,Full Displacement,3,RINA,15.5  kn,13  kn,45000  litres,4000  nm,@ 12  kn,Caterpillar ,3000hp ,GRP,GRP,Teak,10,5,NA,NA,NA,NA,NA,NA,43/08,11890  litres,NA,NA,NA,NA
TERVEL for sale,"€1,750,000",TERVEL,Motor Yacht,NA,Prestige Yachts,21.45  metres,NA,5.3  metres,1.58  metres,NA,36.3,NA,NA,NA,NA,NA,NA,3450  litres,NA,NA,Volvo D13 ,2000hp ,NA,NA,NA,8,4,NA,NA,NA,NA,Studio Garroni ,NA,NA,760  litres,NA,NA,NA,NA
Q for sale,"$2,599,000",Q,Motor Yacht,106,Falcon Yachts ,32.5  metres,NA,7.07  metres,2.13  metres,171,135,2001,Deep V / Planing,2,RINA,27  kn,24  kn,14345  litres,NA,NA,MTU ,4570hp ,GRP,GRP,Teak,10,5,1,NA,2,NA,NA,2007-01-01,211,3000  litres,NA,NA,1,NA
SANLORENZO SL96A for sale,"€9,490,000",SANLORENZO SL96A,Motor Yacht,SL96A,Sanlorenzo ,29.06  metres,NA,6.78  metres,1.92  metres,100,NA,2021,Deep V / Planing,2,NA,28  kn,25  kn,NA,NA,NA,MTU ,NA,GRP,GRP,Teak,NA,NA,NA,NA,NA,NA,Sanlorenzo ,NA,760,NA,NA,Sanlorenzo ,NA,NA
MATSU for sale,"€4,250,000",MATSU,Motor Yacht,120,ISA ,36.45  metres,30  metres,7.4  metres,1.52  metres,235,155,2007,Deep V / Planing,2,RINA,33  kn,27  kn,22000  litres,550  nm,@ 27  kn,MTU ,7200hp ,GRP,GRP,Teak,8,4,1,1,1,NA,NA,NA,120.7,4000  litres,NA,NA,1,NA
MATSU for sale,VAT paid,MATSU,Motor Yacht,120,ISA ,36.45  metres,30  metres,7.4  metres,1.52  metres,235,155,2007,Deep V / Planing,2,RINA,33  kn,27  kn,22000  litres,550  nm,@ 27  kn,MTU ,7200hp ,GRP,GRP,Teak,8,4,1,1,1,NA,NA,NA,120.7,4000  litres,NA,NA,1,NA
M for sale,"€6,500,000",M,Motor Yacht,115,Arcadia Yachts ,35  metres,NA,8.1  metres,2.65  metres,266,NA,2014,Semi Displacement,3,RINA,16  kn,14  kn,15000  litres,1050  nm,@ 14  kn,MAN ,2450hp ,GRP,GRP,Teak,10,5,1,2,2,NA,NA,NA,115/03,4300  litres,NA,NA,NA,NA
IMMORTALIS for sale,"$4,495,000",IMMORTALIS,Motor Yacht,Niigata,Niigata ,45.11  metres,NA,7.37  metres,3.15  metres,337,NA,1996,Full Displacement,3,NA,12  kn,10  kn,100998.59  litres,7500  nm,@ 10  kn,Niigata ,750hp ,Steel,Aluminium,Steel,12,5,1,3,1,Displacement ,NA,2021-05-01,NA,9997.27  litres,Niigata ,Niigata ,1,NA
EDGE for sale,"€5,450,000",EDGE,Motor Yacht,XSR 85,Sarp Yachts ,25.91  metres,NA,6.48  metres,1.27  metres,125,NA,2022,NA,2,CE,21  kn,12  kn,7850  litres,1  nm,NA,MAN ,NA,Composite,Carbon Fibre,NA,NA,4,NA,NA,NA,NA,Red Yacht Design ,NA,NB201,2250  litres,Van Oossanen Naval Architects ,Red Yacht Design ,NA,NA
SIBELLE for sale,"€27,500,000",SIBELLE,Motor Yacht,NA,Heesen Yachts ,49.9  metres,NA,9  metres,2.15  metres,499,NA,2015,Full Displacement,3,ABS,19  kn,15.1  kn,45000  litres,NA,NA,MTU ,2680hp ,NA,NA,NA,10,5,1,1,1,NA,NA,2022-01-01,167 50,16500  litres,NA,NA,2,NA
ALHAMBRA for sale,"€5,500,000",ALHAMBRA,Motor Yacht,NA,Feadship ,35.4  metres,30.8  metres,6.71  metres,2.44  metres,172,NA,1970,Full Displacement,3,NA,14  kn,12.5  kn,29400  litres,2500  nm,@ 12.5  kn,General Motors ,980hp ,Steel,"Aluminium,Steel",Teak,6,4,1,NA,2,NA,NA,2022-01-01,600,7000  litres,NA,NA,NA,NA
